"Kod";"Nazwa";"Typy aktywności";"Płeć";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2016";682;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2017";677;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2018";673;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2019";731;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2020";724;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2021";730;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2022";736;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2023";731;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2010";505;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2011";499;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2012";495;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2013";474;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2014";492;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2015";511;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2016";554;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2017";555;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2018";565;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2019";615;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2020";618;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2021";616;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2022";609;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2023";636;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2010";80;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2011";72;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2012";72;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2013";69;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2014";59;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2015";45;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2016";38;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2017";28;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2018";21;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2019";24;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2020";28;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2021";38;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2022";22;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2023";24;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2010";65;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2011";58;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2012";65;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2013";66;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2014";51;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2015";40;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2016";33;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2017";32;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2018";20;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2019";22;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2020";16;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2021";19;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2022";27;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2023";19;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2010";420;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2011";430;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2012";414;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2013";389;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2014";370;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2015";365;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2016";378;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2017";387;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2018";389;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2019";383;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2020";385;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2021";362;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2022";366;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2023";368;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2010";663;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2011";639;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2012";632;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2013";619;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2014";604;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2015";607;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2016";617;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2017";609;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2018";599;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2019";603;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2020";608;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2021";597;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2022";591;"tys. osób";"";
0200000;"DOLNOŚLĄSKIE";"bierni zawodowo";"kobiety";"wartość liczbowa";"2023";571;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2010";479;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2011";465;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2012";490;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2013";475;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2014";478;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2015";508;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2016";511;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2017";512;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2018";511;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2019";510;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2020";505;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2021";514;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2022";513;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"mężczyźni";"wartość liczbowa";"2023";505;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2010";381;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2011";379;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2012";395;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2013";382;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2014";385;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2015";404;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2016";408;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2017";397;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2018";399;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2019";402;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2020";401;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2021";422;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2022";429;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo ogółem";"kobiety";"wartość liczbowa";"2023";431;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2010";432;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2011";421;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2012";439;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2013";422;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2014";434;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2015";471;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2016";475;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2017";483;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2018";490;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2019";494;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2020";493;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2021";495;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2022";493;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"mężczyźni";"wartość liczbowa";"2023";488;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2010";335;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2011";329;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2012";340;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2013";326;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2014";337;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2015";369;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2016";377;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2017";376;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2018";380;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2019";382;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2020";385;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2021";399;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2022";413;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo pracujący";"kobiety";"wartość liczbowa";"2023";412;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2010";47;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2011";44;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2012";51;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2013";53;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2014";44;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2015";37;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2016";37;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2017";29;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2018";20;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2019";16;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2020";12;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2021";19;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2022";20;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"mężczyźni";"wartość liczbowa";"2023";17;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2010";45;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2011";50;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2012";55;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2013";55;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2014";48;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2015";36;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2016";32;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2017";21;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2018";19;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2019";20;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2020";15;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2021";23;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2022";16;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"aktywni zawodowo bezrobotni";"kobiety";"wartość liczbowa";"2023";19;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2010";284;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2011";285;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2012";274;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2013";266;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2014";270;"tys. osób";"";
0400000;"KUJAWSKO-POMORSKIE";"bierni zawodowo";"mężczyźni";"wartość liczbowa";"2015";288;"tys. osób";"";
