"Kod";"Nazwa";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2023";5998;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2014";;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2015";;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2016";54;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2017";54;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2018";53;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2019";47;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2020";46;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2021";49;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2022";45;"%";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2023";46;"%";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2014";1931;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2015";1989;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2016";1835;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2017";1806;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2018";2294;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2019";2900;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2020";2318;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2021";2389;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2022";2391;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2023";2488;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2014";9777;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2015";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2016";9438;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2017";9670;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2018";11448;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2019";12837;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2020";10393;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2021";11079;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2022";10706;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2023";11217;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2014";9221;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2015";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2016";6629;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2017";6887;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2018";7736;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2019";7998;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2020";6549;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2021";7509;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2022";7117;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2023";7174;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2014";;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2015";;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2016";3262;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2017";3381;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2018";4206;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2019";4631;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2020";3563;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2021";3609;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2022";3249;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2023";3597;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2014";;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2015";;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2016";2109;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2017";2126;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2018";2321;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2019";2530;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2020";1911;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2021";2012;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2022";1894;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2023";1968;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2014";;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2015";;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2016";155;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2017";159;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2018";181;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2019";183;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2020";186;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2021";179;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2022";172;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2023";183;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2014";-1068;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2015";-982;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2016";-806;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2017";-882;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2018";-1279;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2019";-1496;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2020";-1175;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2021";-1188;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2022";-947;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2023";-1169;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2014";4621;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2015";;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2016";4419;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2017";4789;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2018";5017;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2019";5487;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2020";4374;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2021";4657;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2022";4600;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2023";4731;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2014";7459;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2015";;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2016";6041;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2017";6093;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2018";7480;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2019";8153;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2020";6392;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2021";6846;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2022";6428;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2023";6755;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2014";;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2015";;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2016";4898;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2017";5288;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2018";6184;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2019";6653;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2020";5072;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2021";5404;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2022";5013;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2023";5131;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2014";;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2015";;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2016";1526;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2017";1595;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2018";1793;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2019";1816;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2020";1590;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2021";1613;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2022";1499;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2023";1612;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2014";;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2015";;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2016";321;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2017";332;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2018";345;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2019";366;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2020";319;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2021";335;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2022";334;"%";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie na pobyt stały - stosunek liczby wymeldowań do zameldowań osób w wieku 20–40 lat";"2023";318;"%";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2014";-3120;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2015";-2710;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2016";-2531;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2017";-2643;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2018";-3298;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2019";-3556;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2020";-2564;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2021";-2733;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2022";-2486;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji międzywojewódzkich na pobyt stały ludności w wieku 25–34 lat";"2023";-2514;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2014";3428;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2015";;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2016";3563;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2017";3602;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2018";4228;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2019";4344;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2020";3747;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2021";3967;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2022";3832;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - napływ";"2023";3925;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2014";9188;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2015";;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2016";7630;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2017";8333;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2018";9587;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2019";10375;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2020";8085;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2021";8733;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2022";8333;"osoba";"";
0600000;"LUBELSKIE";"migracje międzywojewódzkie i zagraniczne na pobyt stały - odpływ";"2023";8393;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2014";;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2015";;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2016";1946;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2017";2017;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2018";2307;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2019";2619;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2020";2021;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2021";2137;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2022";1906;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - wymeldowania osób w wieku 20–40 lat";"2023";1949;"osoba";"";
0800000;"LUBUSKIE";"migracje międzywojewódzkie na pobyt stały - zameldowania osób w wieku 20–40 lat";"2014";;"osoba";"";
